n,W,family,instance_idx,solver,value,optimal_value,opt_gap_pct,weight,capacity,feasible,time_s,items_selected
20,50,uncorrelated,17,greedy,126,132,4.55,41,50,True,1e-05,8
20,50,uncorrelated,17,ml_rf,126,132,4.55,41,50,True,0.035852,8
20,50,uncorrelated,17,ml_mlp,126,132,4.55,41,50,True,0.000669,8
20,50,uncorrelated,18,dp,140,140,0.0,49,50,True,0.000167,8
20,50,uncorrelated,18,greedy,136,140,2.86,46,50,True,1e-05,8
20,50,uncorrelated,18,ml_rf,136,140,2.86,46,50,True,0.043906,8
20,50,uncorrelated,18,ml_mlp,129,140,7.86,41,50,True,0.000592,7
20,50,uncorrelated,19,dp,116,116,0.0,49,50,True,0.000145,6
20,50,uncorrelated,19,greedy,112,116,3.45,43,50,True,1e-05,6
20,50,uncorrelated,19,ml_rf,112,116,3.45,43,50,True,0.041623,6
20,50,uncorrelated,19,ml_mlp,112,116,3.45,43,50,True,0.000581,6
20,50,correlated,0,dp,63,63,0.0,50,50,True,0.000153,5
20,50,correlated,0,greedy,61,63,3.17,49,50,True,9e-06,6
20,50,correlated,0,ml_rf,41,63,34.92,30,50,True,0.042411,4
20,50,correlated,0,ml_mlp,41,63,34.92,30,50,True,0.000582,4
20,50,correlated,1,dp,67,67,0.0,49,50,True,0.000149,5
20,50,correlated,1,greedy,67,67,0.0,49,50,True,1e-05,5
20,50,correlated,1,ml_rf,54,67,19.4,39,50,True,0.059986,5
20,50,correlated,1,ml_mlp,48,67,28.36,33,50,True,0.000577,4
20,50,correlated,2,dp,66,66,0.0,50,50,True,0.00017,6
20,50,correlated,2,greedy,65,66,1.52,49,50,True,1e-05,6
20,50,correlated,2,ml_rf,56,66,15.15,41,50,True,0.040696,4
20,50,correlated,2,ml_mlp,63,66,4.55,46,50,True,0.000587,4
20,50,correlated,3,dp,69,69,0.0,50,50,True,0.000148,5
20,50,correlated,3,greedy,66,69,4.35,46,50,True,9e-06,5
20,50,correlated,3,ml_rf,66,69,4.35,46,50,True,0.034742,5
20,50,correlated,3,ml_mlp,55,69,20.29,37,50,True,0.000481,4
20,50,correlated,4,dp,66,66,0.0,50,50,True,0.000156,5
20,50,correlated,4,greedy,66,66,0.0,50,50,True,9e-06,5
20,50,correlated,4,ml_rf,33,66,50.0,24,50,True,0.070509,4
20,50,correlated,4,ml_mlp,48,66,27.27,34,50,True,0.001185,4
20,50,correlated,5,dp,70,70,0.0,49,50,True,0.000519,5
20,50,correlated,5,greedy,63,70,10.0,44,50,True,3.3e-05,6
20,50,correlated,5,ml_rf,44,70,37.14,27,50,True,0.140981,4
20,50,correlated,5,ml_mlp,44,70,37.14,27,50,True,0.001925,4
20,50,correlated,6,dp,67,67,0.0,50,50,True,0.000531,6
20,50,correlated,6,greedy,65,67,2.99,49,50,True,3.1e-05,7
20,50,correlated,6,ml_rf,52,67,22.39,38,50,True,0.183264,5
20,50,correlated,6,ml_mlp,55,67,17.91,40,50,True,0.002077,5
20,50,correlated,7,dp,62,62,0.0,50,50,True,0.000545,4
20,50,correlated,7,greedy,62,62,0.0,50,50,True,3.2e-05,6
20,50,correlated,7,ml_rf,50,62,19.35,37,50,True,0.151501,4
20,50,correlated,7,ml_mlp,49,62,20.97,36,50,True,0.001921,3
20,50,correlated,8,dp,80,80,0.0,50,50,True,0.000529,8
20,50,correlated,8,greedy,77,80,3.75,50,50,True,3.2e-05,9
20,50,correlated,8,ml_rf,71,80,11.25,42,50,True,0.131688,7
20,50,correlated,8,ml_mlp,49,80,38.75,25,50,True,0.001416,6
20,50,correlated,9,dp,69,69,0.0,50,50,True,0.000359,7
20,50,correlated,9,greedy,69,69,0.0,50,50,True,2.1e-05,7
20,50,correlated,9,ml_rf,41,69,40.58,27,50,True,0.12101,5
20,50,correlated,9,ml_mlp,41,69,40.58,27,50,True,0.000915,5
20,50,correlated,10,dp,60,60,0.0,50,50,True,0.000339,5
20,50,correlated,10,greedy,60,60,0.0,49,50,True,2.1e-05,5
20,50,correlated,10,ml_rf,28,60,53.33,23,50,True,0.147537,3
20,50,correlated,10,ml_mlp,59,60,1.67,47,50,True,0.000769,4
20,50,correlated,11,dp,67,67,0.0,50,50,True,0.000387,6
20,50,correlated,11,greedy,65,67,2.99,49,50,True,2.1e-05,6
20,50,correlated,11,ml_rf,66,67,1.49,50,50,True,0.13833,5
20,50,correlated,11,ml_mlp,58,67,13.43,42,50,True,0.001646,4
20,50,correlated,12,dp,66,66,0.0,50,50,True,0.000518,5
20,50,correlated,12,greedy,66,66,0.0,50,50,True,3.5e-05,5
20,50,correlated,12,ml_rf,62,66,6.06,50,50,True,0.131708,5
20,50,correlated,12,ml_mlp,49,66,25.76,36,50,True,0.001972,4
20,50,correlated,13,dp,72,72,0.0,50,50,True,0.00053,5
20,50,correlated,13,greedy,72,72,0.0,49,50,True,3e-05,7
20,50,correlated,13,ml_rf,62,72,13.89,38,50,True,0.133104,5
20,50,correlated,13,ml_mlp,62,72,13.89,38,50,True,0.001187,5
20,50,correlated,14,dp,73,73,0.0,50,50,True,0.000375,6
20,50,correlated,14,greedy,73,73,0.0,50,50,True,2e-05,6
20,50,correlated,14,ml_rf,23,73,68.49,14,50,True,0.125501,2
20,50,correlated,14,ml_mlp,73,73,0.0,50,50,True,0.001809,6
